name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,img_url
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/balushahi-1.jpg
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,https://www.crazymasalafood.com/wp-content/images/gulab_Jamun.jpg
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/basundi-1.jpg
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West,https://www.crazymasalafood.com/wp-content/images/jalebi-2.jpg
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander",vegetarian,-1,-1,-1,main course,Assam,North East,https://2.bp.blogspot.com/-vTi5UtZm_yk/WHoylvxfJ7I/AAAAAAAAAEI/Jc9ZdSilHhIGhbVgu0g8GGpw2brae0c3QCPcB/s640/assam%2Bfoods101.jpg
Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,-1,main course,Maharashtra,West,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Bhakri_1.jpg/375px-Bhakri_1.jpg
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2010/06/bhatura-recipe-500x500.jpg
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/06/bhindi-masala-1-500x500.jpg
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,-1,main course,Assam,North East,https://usercontent.one/wp/www.sunitabhuyan.net/wp-content/uploads/2021/11/IMG_20211108_0849111-1440x720.jpg
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/%22Hyderabadi_Dum_Biryani%22.jpg/330px-%22Hyderabadi_Dum_Biryani%22.jpg
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,https://hebbarskitchen.com/wp-content/uploads/2021/11/bisi-bele-bath-recipe-%EF%80%A7-bisibelabath-recipe-%EF%80%A7-bisibele-bhath-or-bisibele-rice-1-1024x683.jpeg
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,-1,-1,-1,main course,Manipur,North East,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Black_Rice.jpg/330px-Black_Rice.jpg
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,-1,-1,spicy,main course,Maharashtra,West,https://cdn.tasteatlas.com/images/dishes/dd7555964d3a4fa5a19fb3feaa5cd788.jpg?mw=1300
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,Rajasthan,West,https://www.crazymasalafood.com/wp-content/images/boondi.jpg
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,-1,-1,spicy,main course,Assam,North East,https://2.bp.blogspot.com/-4UQizgztb_g/XDqZUHNucjI/AAAAAAABLy0/YKNeCpuisEABqoE22dEJhPOEtbxYADxvQCLcBGAs/s640/IMG_6540.jpg
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,-1,main course,-1,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brown_rice_%28whole_grain_rice%29_photographed_in_West_Bengal%2C_India.jpg/330px-Brown_rice_%28whole_grain_rice%29_photographed_in_West_Bengal%2C_India.jpg
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,https://i.ndtvimg.com/i/2015-01/chicken-butter-625_625x350_51420696582.jpg
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,https://thericechick.com/wp-content/uploads/2022/06/feature-2a-chak-hao-kheer.jpg
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,Maharashtra,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Easy_Malai_Butter_Murruku_Recipe__12_1600.jpg
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/chamcaham.jpg
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/kala-chana-recipe-1-500x500.jpg
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West,https://www.vegrecipesofindia.com/wp-content/uploads/2014/07/khoya-matar-makhana-recipe-500x500.jpg
Cheera Doi,"Rice, mango, curd",vegetarian,-1,-1,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/laddoo.jpg
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Deboshruti/Oats_chivada__oats_poha_mixture_recipe.jpg
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,Odisha,East,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoGxpY-PmBWxXSEBzXuA_cG7J2FKUiVms8sCy28q0fUe4QCpQTGW1Cnqh7q7oE_Z5DqJs&usqp=CAU
Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,https://www.crazymasalafood.com/wp-content/images/chhena-gaja.jpg
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,https://www.crazymasalafood.com/wp-content/images/chhena-poda.jpg
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,https://c.ndtvimg.com/2018-11/kecu2hpg_bhatti-da-murg_625x300_16_November_18.jpg
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,https://www.simplyrecipes.com/thmb/fFSaBFd2jo0utv6lE-FHppcumAE=/750x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2017__02__2017-02-27-ChickenTikkaMasala-16-d8f19c6207b849be8a63695c04a88ec2.jpg
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,https://i.ndtvimg.com/i/2017-03/fish-tikka_725x483_51488522042.jpg
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,10,35,spicy,main course,Tamil Nadu,South,https://tasteasianfood.com/wp-content/uploads/2018/05/chicken-varuval-1.jpg.webp
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,East,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2MAXRwdloYGpSPIy3Lg_0lE-dUhcKD22Uc-sAi7YJfWaq-j7ZJkLLccHJdtIPqEFcmJc&usqp=CAU
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,-1,main course,West Bengal,East,https://c.ndtvimg.com/2019-04/lad4i5qo_chingri_625x300_04_April_19.jpg
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,West Bengal,East,https://img-global.cpcdn.com/recipes/b99b54254b0304e1/1360x964cq70/shorshe-chingri-bhapa-recipe-main-photo.webp
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/07/chana-masala-1-500x500.jpg
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,Gujarat,West,https://c.ndtvimg.com/2021-11/pf6krbm_chorafali_625x300_28_November_21.jpg
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,Rajasthan,West,https://img-global.cpcdn.com/recipes/0fb165f208a6a369/1360x964cq70/churma-ladoo-recipe-atta-ladoo-recipe-main-photo.webp
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnKMsGx5DRkeOhz5U6ReOeiCSU-QWc-on-0OFEF3ymELGRe2hfrMdItXt1nTO-jhIThGg&usqp=CAU
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,-1,main course,Gujarat,West,https://www.spiceupthecurry.com/wp-content/uploads/2012/11/P1060703-Copy.jpg
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2014/09/15019052857_64249b76bd_z.jpg
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,https://www.ammakithaali.com/wp-content/uploads/2022/07/dalbtichrma-1024x576.jpg
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West,https://hebbarskitchen.com/wp-content/uploads/2019/02/dal-dhokli-recipe-how-to-make-traditional-gujarati-dal-dhokli-1-1068x1602.jpeg
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,https://hebbarskitchen.com/wp-content/uploads/2020/11/moong-dal-puri-recipe-moong-dal-ki-puri-moong-dal-poori-2-1024x1536.jpeg
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,-1,snack,Maharashtra,West,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Vada_Recipe-1.jpg
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2015/01/dal-makhani-recipe-restaurant-style-500x500.jpg
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2013/07/maa-chole-ki-dal-recipe-500x500.jpg
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,-1,main course,Maharashtra,West,https://www.vidhyashomecooking.com/wp-content/uploads/2018/03/Daali.jpg
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,https://www.crazymasalafood.com/wp-content/images/dharwad-pedha.jpg
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Instant_Sooji_Oats_Dhokla_Recipe_Video_For_Breakfast_Evening_Snack_15_1600.jpg
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,https://www.crazymasalafood.com/wp-content/images/dhondas.jpg
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/doodhpak.jpg
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,-1,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Andhra_Kandi_Attu_Recipe_Toor_Dal_Dosa_Recipe_.jpg
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,https://www.crazymasalafood.com/wp-content/images/double-ka-meetha-1.png
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/Lauki-ka-Halwa.jpeg
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,https://www.vegrecipesofindia.com/wp-content/uploads/2012/04/kashmiri-dum-aloo-recipe1.jpg
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Priyanka_Tripathi/Fara.jpg
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper",vegetarian,-1,-1,-1,snack,Gujarat,West,https://hebbarskitchen.com/wp-content/uploads/mainPhotos/farsi-puri-recipe-crispy-gujarati-farsi-poori-namkeen-farsi-poori-recipe-2-1068x1602.jpeg
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,Punjab,North,https://www.crazymasalafood.com/wp-content/images/carrot-halwa-1.jpg
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Pumpkin_Galho.jpg/330px-Pumpkin_Galho.jpg
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,Rajasthan,West,https://www.vegrecipesofindia.com/wp-content/uploads/2018/05/gatte-ki-sabji.jpg
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,https://crazymasalafood.com/wp-content/images/gavvalu-960x596.jpg.webp
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,Assam,North East,https://crazymasalafood.com/wp-content/images/2022/09/gaintha-pitha.jpg.webp
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,Rajasthan,West,https://www.crazymasalafood.com/wp-content/images/ghevar-2.jpg
Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,-1,-1,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Farrukh_Aziz_Ansari/Ghoogri.jpg
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,West Bengal,East,https://img-global.cpcdn.com/recipes/cd8eb5351eeabcb1/1360x964cq70/khasta-misti-goja-recipe-main-photo.webp
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,sweet,dessert,Gujarat,West,https://www.crazymasalafood.com/wp-content/images/shankerpali.jpg
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,West Bengal,East,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2vUnd--NgSJmc_qL1AbfbqxkzxefvLpX9n7b8_vV7AmrSihT5qo1Vkgyu85VwcDGWSBE&usqp=CAU
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,-1,-1,sweet,dessert,Gujarat,West,https://rameshsweets.in/wp-content/uploads/2020/12/Halwasan-570x718.jpg
Hando Guri,"Jaggery, raisins",vegetarian,-1,-1,sweet,dessert,Assam,North East,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shaheen_ali/Sandah_Guri__Assamese_Roasted_Rice_Flour_Porridge_.jpg
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Gujarati_Tawa_Handvo_Recipe_With_Sweet_Corn-4.jpg
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,spicy,main course,Assam,North East,https://alchetron.com/cdn/laal-maans-a3c09daf-077e-4e60-ae1d-bdfef11e2ad-resize-750.jpeg
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/umar/Chettinad_Idiappam_Mee_Recipe__1600.jpg
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,-1,South,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Classic_Homemade_Soft_Idli_Recipe_Video_3_1600.jpg
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/imarti-1.jpg
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,Uttar Pradesh,North,https://crazymasalafood.com/wp-content/images/2023/05/jalebi-1.jpg.webp
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,Gujarat,West,https://www.vegrecipesofindia.com/wp-content/uploads/2020/12/jeera-aloo-1152x1536.jpg
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,https://www.subbuskitchen.com/wp-content/uploads/2019/05/Hotel-Style-Kara-Kuzhambu_web3-1300x867.jpg
Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,-1,-1,spicy,main course,West Bengal,East,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/A_fish_kabiraji.jpg/330px-A_fish_kabiraji.jpg
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Matar_Kachori_Recipe-6.jpg
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2021/12/kadai-paneer-1-500x500.jpg
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,https://www.vegrecipesofindia.com/wp-content/uploads/2012/01/punjabi-kadhi-pakora-recipe-easy-500x500.jpg
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,-1,-1,https://crazymasalafood.com/wp-content/images/2023/05/kaju-katli-1.jpg.webp
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,https://www.crazymasalafood.com/wp-content/images/kakinada-khaja.jpg
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,West Bengal,East,https://www.crazymasalafood.com/wp-content/images/kalakand-1.jpg
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,-1,snack,Kerala,South,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/ULUNTHU_KANJI__URAD_DAL_PORRIDGE.jpg
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,10,40,-1,main course,Gujarat,West,https://www.sanjeevkapoor.com/images/No_image2.gif
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,https://www.vegrecipesofindia.com/wp-content/uploads/2010/08/karela-sabji-recipe-500x500.jpg
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,https://rakskitchen.net/wp-content/uploads/2009/07/Keerai-kootu.jpg
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,https://traditionallymodernfood.com/wp-content/uploads/2022/01/keerai-masiyal-keerai-kadaiyal-500x500.jpeg
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,https://traditionallymodernfood.com/wp-content/uploads/2018/03/keerai-poriyal-keerai-thengai-curry-spinach-stir-fry-1024x868.jpg
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,https://traditionallymodernfood.com/wp-content/uploads/2023/04/keerai-rice-spinach-pulao-palak-rice-46-500x500.jpeg
Keri no ras,"Mango, sugar",vegetarian,10,10,sour,main course,Gujarat,West,https://www.jcookingodyssey.com/wp-content/uploads/2021/12/KERI2BNO2BRAS.jpg.webp
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Homemade_Methi_Khakhra_Recipe_5_1600.jpg
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Appetizers/Preethi_Kitchen_Appliance_Khaman_Dhokla_From_Chana_dal_Recipe_Gujarati_Video-2.jpg
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Appetizers/Khandvi_A_Gujarati_Farsan.jpg
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,-1,main course,Assam,North East,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/KarthikaKrishnan/Amitar_Khar.jpg
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,-1,-1,https://www.crazymasalafood.com/wp-content/images/khira-sagara.jpg
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,https://www.crazymasalafood.com/wp-content/images/khira-sagara.jpg
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,-1,-1,https://www.vegrecipesofindia.com/wp-content/uploads/2013/06/recipe-chana-dal-khichdi-500x500.jpg
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,spicy,snack,Gujarat,West,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Easyfoodsmith/Khichu_Recipe_Steamed_Rice_flour_Savory_Donuts_.jpg
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,-1,-1,spicy,main course,Assam,North East,https://slurrp.club/wp-content/uploads/2021/03/DSC_1242-2-1024x683.jpg
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Koofteh_tabrizi.jpg/263px-Koofteh_tabrizi.jpg
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice",non vegetarian,-1,-1,spicy,main course,Assam,North East,https://www.slurrp.com/web/_next/image?url=https%3A%2F%2Fimages.slurrp.com%2Fprod%2Frecipe_images%2Fbetter-butter%2Fkoldil-chicken-an-assamese-heirloom-recipe-of-chicken-curry-cooked-with-banana-flower-1611366600_FAL1GRYXDR3B6R32E1IZ.webp%3Fimpolicy%3Dslurrp-20210601%26width%3D1200%26height%3D675&w=3840&q=75
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder",non vegetarian,-1,-1,spicy,main course,Assam,North East,https://i0.wp.com/www.pepperdelight.com/wp-content/uploads/2019/12/pepper-delight-duck-curry-1-scaled.jpg?resize=1024%2C1536&ssl=1
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,-1,-1,spicy,main course,Maharashtra,West,https://3.bp.blogspot.com/-JxFx47X4dhY/Uz6T21257PI/AAAAAAAACcc/shPzNWEIc-I/s1600/IMG_4637a.jpg
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,spicy,snack,Maharashtra,West,https://www.archanaskitchen.com/images/archanaskitchen/Guest_Writers/Darshana_Shah/Kothimbir_Vadi_Coriander_Fritters.jpg
